Name,Weapon Name,Affinity (Dropdown),Affinity,Max Upgrade,Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage Type,Weight,Poise,Weapon Type,2H Dual-Wield
Sacred Great Epee,Great Epee,Sacred,Sacred,25,15,16,0,0,0,Standard/Pierce,6.5,11,Heavy Thrusting Sword,No
Magic Great Epee,Great Epee,Magic,Magic,25,15,16,0,0,0,Standard/Pierce,6.5,11,Heavy Thrusting Sword,No
Cold Great Epee,Great Epee,Cold,Cold,25,15,16,0,0,0,Standard/Pierce,6.5,11,Heavy Thrusting Sword,No
Poison Great Epee,Great Epee,Poison,Poison,25,15,16,0,0,0,Standard/Pierce,6.5,11,Heavy Thrusting Sword,No
Blood Great Epee,Great Epee,Blood,Blood,25,15,16,0,0,0,Standard/Pierce,6.5,11,Heavy Thrusting Sword,No
Occult Great Epee,Great Epee,Occult,Occult,25,15,16,0,0,0,Standard/Pierce,6.5,11,Heavy Thrusting Sword,No
Dragon King's Cragblade,Dragon King's Cragblade,None,-,10,18,37,0,0,0,Standard/Pierce,8,33,Heavy Thrusting Sword,No
Falchion,Falchion,None,None,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Heavy Falchion,Falchion,Heavy,Heavy,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Keen Falchion,Falchion,Keen,Keen,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Quality Falchion,Falchion,Quality,Quality,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Fire Falchion,Falchion,Fire,Fire,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Flame Art Falchion,Falchion,Flame Art,Flame Art,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Lightning Falchion,Falchion,Lightning,Lightning,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Sacred Falchion,Falchion,Sacred,Sacred,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Magic Falchion,Falchion,Magic,Magic,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Cold Falchion,Falchion,Cold,Cold,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Poison Falchion,Falchion,Poison,Poison,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Blood Falchion,Falchion,Blood,Blood,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Occult Falchion,Falchion,Occult,Occult,25,9,13,0,0,0,Slash,3.5,5,Curved Sword,No
Beastman's Curved Sword,Beastman's Curved Sword,None,None,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Heavy Curved Sword,Beastman's Curved Sword,Heavy,Heavy,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Keen Curved Sword,Beastman's Curved Sword,Keen,Keen,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Quality Curved Sword,Beastman's Curved Sword,Quality,Quality,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Fire Curved Sword,Beastman's Curved Sword,Fire,Fire,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Flame Art Curved Sword,Beastman's Curved Sword,Flame Art,Flame Art,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Lightning Curved Sword,Beastman's Curved Sword,Lightning,Lightning,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Sacred Curved Sword,Beastman's Curved Sword,Sacred,Sacred,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Magic Curved Sword,Beastman's Curved Sword,Magic,Magic,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Cold Curved Sword,Beastman's Curved Sword,Cold,Cold,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Poison Curved Sword,Beastman's Curved Sword,Poison,Poison,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Blood Curved Sword,Beastman's Curved Sword,Blood,Blood,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Beastman's Occult Curved Sword,Beastman's Curved Sword,Occult,Occult,25,13,11,0,0,0,Slash,4,2.5,Curved Sword,No
Shotel,Shotel,None,None,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Heavy Shotel,Shotel,Heavy,Heavy,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Keen Shotel,Shotel,Keen,Keen,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Quality Shotel,Shotel,Quality,Quality,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Fire Shotel,Shotel,Fire,Fire,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Flame Art Shotel,Shotel,Flame Art,Flame Art,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Lightning Shotel,Shotel,Lightning,Lightning,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Sacred Shotel,Shotel,Sacred,Sacred,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Magic Shotel,Shotel,Magic,Magic,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Cold Shotel,Shotel,Cold,Cold,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Poison Shotel,Shotel,Poison,Poison,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Blood Shotel,Shotel,Blood,Blood,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Occult Shotel,Shotel,Occult,Occult,25,9,19,0,0,0,Slash,2,10,Curved Sword,No
Shamshir,Shamshir,None,None,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Heavy Shamshir,Shamshir,Heavy,Heavy,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Keen Shamshir,Shamshir,Keen,Keen,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Quality Shamshir,Shamshir,Quality,Quality,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Fire Shamshir,Shamshir,Fire,Fire,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Flame Art Shamshir,Shamshir,Flame Art,Flame Art,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Lightning Shamshir,Shamshir,Lightning,Lightning,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Sacred Shamshir,Shamshir,Sacred,Sacred,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Magic Shamshir,Shamshir,Magic,Magic,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Cold Shamshir,Shamshir,Cold,Cold,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Poison Shamshir,Shamshir,Poison,Poison,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Blood Shamshir,Shamshir,Blood,Blood,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Occult Shamshir,Shamshir,Occult,Occult,25,7,13,0,0,0,Slash,3.5,5,Curved Sword,No
Bandit's Curved Sword,Bandit's Curved Sword,None,None,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Heavy Curved Sword,Bandit's Curved Sword,Heavy,Heavy,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Keen Curved Sword,Bandit's Curved Sword,Keen,Keen,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Quality Curved Sword,Bandit's Curved Sword,Quality,Quality,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Fire Curved Sword,Bandit's Curved Sword,Fire,Fire,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Flame Art Curved Sword,Bandit's Curved Sword,Flame Art,Flame Art,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Lightning Curved Sword,Bandit's Curved Sword,Lightning,Lightning,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Sacred Curved Sword,Bandit's Curved Sword,Sacred,Sacred,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Magic Curved Sword,Bandit's Curved Sword,Magic,Magic,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Cold Curved Sword,Bandit's Curved Sword,Cold,Cold,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Poison Curved Sword,Bandit's Curved Sword,Poison,Poison,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Blood Curved Sword,Bandit's Curved Sword,Blood,Blood,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Bandit's Occult Curved Sword,Bandit's Curved Sword,Occult,Occult,25,11,13,0,0,0,Slash,5,5,Curved Sword,No
Magma Blade,Magma Blade,None,-,10,9,15,0,16,0,Slash,4,14.5,Curved Sword,No
Flowing Curved Sword,Flowing Curved Sword,None,None,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Heavy Curved Sword,Flowing Curved Sword,Heavy,Heavy,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Keen Curved Sword,Flowing Curved Sword,Keen,Keen,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Quality Curved Sword,Flowing Curved Sword,Quality,Quality,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Fire Curved Sword,Flowing Curved Sword,Fire,Fire,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Flame Art Curved Sword,Flowing Curved Sword,Flame Art,Flame Art,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Lightning Curved Sword,Flowing Curved Sword,Lightning,Lightning,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Sacred Curved Sword,Flowing Curved Sword,Sacred,Sacred,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Magic Curved Sword,Flowing Curved Sword,Magic,Magic,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Cold Curved Sword,Flowing Curved Sword,Cold,Cold,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Poison Curved Sword,Flowing Curved Sword,Poison,Poison,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Blood Curved Sword,Flowing Curved Sword,Blood,Blood,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Flowing Occult Curved Sword,Flowing Curved Sword,Occult,Occult,25,9,17,0,0,0,Slash,3.5,2.5,Curved Sword,No
Wing of Astel,Wing of Astel,None,-,10,7,17,20,0,0,Slash,2.5,10,Curved Sword,No
Scavenger's Curved Sword,Scavenger's Curved Sword,None,None,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Heavy Curved Sword,Scavenger's Curved Sword,Heavy,Heavy,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Keen Curved Sword,Scavenger's Curved Sword,Keen,Keen,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Quality Curved Sword,Scavenger's Curved Sword,Quality,Quality,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Fire Curved Sword,Scavenger's Curved Sword,Fire,Fire,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Flame Art Curved Sword,Scavenger's Curved Sword,Flame Art,Flame Art,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Lightning Curved Sword,Scavenger's Curved Sword,Lightning,Lightning,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Sacred Curved Sword,Scavenger's Curved Sword,Sacred,Sacred,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Magic Curved Sword,Scavenger's Curved Sword,Magic,Magic,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Cold Curved Sword,Scavenger's Curved Sword,Cold,Cold,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Poison Curved Sword,Scavenger's Curved Sword,Poison,Poison,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Blood Curved Sword,Scavenger's Curved Sword,Blood,Blood,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Scavenger's Occult Curved Sword,Scavenger's Curved Sword,Occult,Occult,25,9,14,0,0,0,Slash,3.5,5,Curved Sword,No
Eclipse Shotel,Eclipse Shotel,None,-,10,10,25,0,30,0,Slash,3,10,Curved Sword,No
Serpent-God's Curved Sword,Serpent-God's Curved Sword,None,None,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Heavy Curved Sword,Serpent-God's Curved Sword,Heavy,Heavy,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Keen Curved Sword,Serpent-God's Curved Sword,Keen,Keen,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Quality Curved Sword,Serpent-God's Curved Sword,Quality,Quality,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Fire Curved Sword,Serpent-God's Curved Sword,Fire,Fire,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Flame Art Curved Sword,Serpent-God's Curved Sword,Flame Art,Flame Art,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Lightning Curved Sword,Serpent-God's Curved Sword,Lightning,Lightning,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Sacred Curved Sword,Serpent-God's Curved Sword,Sacred,Sacred,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Magic Curved Sword,Serpent-God's Curved Sword,Magic,Magic,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Cold Curved Sword,Serpent-God's Curved Sword,Cold,Cold,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Poison Curved Sword,Serpent-God's Curved Sword,Poison,Poison,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Blood Curved Sword,Serpent-God's Curved Sword,Blood,Blood,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Serpent-God's Occult Curved Sword,Serpent-God's Curved Sword,Occult,Occult,25,13,9,0,0,0,Slash,4,5,Curved Sword,No
Mantis Blade,Mantis Blade,None,None,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Heavy Mantis Blade,Mantis Blade,Heavy,Heavy,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Keen Mantis Blade,Mantis Blade,Keen,Keen,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Quality Mantis Blade,Mantis Blade,Quality,Quality,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Fire Mantis Blade,Mantis Blade,Fire,Fire,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Flame Art Mantis Blade,Mantis Blade,Flame Art,Flame Art,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Lightning Mantis Blade,Mantis Blade,Lightning,Lightning,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Sacred Mantis Blade,Mantis Blade,Sacred,Sacred,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Magic Mantis Blade,Mantis Blade,Magic,Magic,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Cold Mantis Blade,Mantis Blade,Cold,Cold,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Poison Mantis Blade,Mantis Blade,Poison,Poison,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Blood Mantis Blade,Mantis Blade,Blood,Blood,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Occult Mantis Blade,Mantis Blade,Occult,Occult,25,10,12,0,0,0,Slash,4,10,Curved Sword,No
Scimitar,Scimitar,None,None,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Heavy Scimitar,Scimitar,Heavy,Heavy,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Keen Scimitar,Scimitar,Keen,Keen,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Quality Scimitar,Scimitar,Quality,Quality,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Fire Scimitar,Scimitar,Fire,Fire,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Flame Art Scimitar,Scimitar,Flame Art,Flame Art,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Lightning Scimitar,Scimitar,Lightning,Lightning,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Sacred Scimitar,Scimitar,Sacred,Sacred,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Magic Scimitar,Scimitar,Magic,Magic,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Cold Scimitar,Scimitar,Cold,Cold,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Poison Scimitar,Scimitar,Poison,Poison,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Bloody Scimitar,Scimitar,Blood,Blood,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Occult Scimitar,Scimitar,Occult,Occult,25,7,13,0,0,0,Slash,3,5,Curved Sword,No
Grossmesser,Grossmesser,None,None,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Heavy Grossmesser,Grossmesser,Heavy,Heavy,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Keen Grossmesser,Grossmesser,Keen,Keen,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Quality Grossmesser,Grossmesser,Quality,Quality,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Fire Grossmesser,Grossmesser,Fire,Fire,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Flame Art Grossmesser,Grossmesser,Flame Art,Flame Art,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Lightning Grossmesser,Grossmesser,Lightning,Lightning,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Sacred Grossmesser,Grossmesser,Sacred,Sacred,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Magic Grossmesser,Grossmesser,Magic,Magic,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Cold Grossmesser,Grossmesser,Cold,Cold,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Poison Grossmesser,Grossmesser,Poison,Poison,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Blood Grossmesser,Grossmesser,Blood,Blood,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Occult Grossmesser,Grossmesser,Occult,Occult,25,14,12,0,0,0,Slash,4.5,5,Curved Sword,No
Onyx Lord's Greatsword,Onyx Lord's Greatsword,None,-,10,20,16,16,0,0,Slash,11.5,5.5,Curved Greatsword,No
Dismounter,Dismounter,None,None,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Heavy Dismounter,Dismounter,Heavy,Heavy,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Keen Dismounter,Dismounter,Keen,Keen,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Quality Dismounter,Dismounter,Quality,Quality,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Fire Dismounter,Dismounter,Fire,Fire,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Flame Art Dismounter,Dismounter,Flame Art,Flame Art,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Lightning Dismounter,Dismounter,Lightning,Lightning,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Sacred Dismounter,Dismounter,Sacred,Sacred,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Magic Dismounter,Dismounter,Magic,Magic,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Cold Dismounter,Dismounter,Cold,Cold,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Poison Dismounter,Dismounter,Poison,Poison,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Blood Dismounter,Dismounter,Blood,Blood,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Occult Dismounter,Dismounter,Occult,Occult,25,19,16,0,0,0,Slash,10,10.175,Curved Greatsword,No
Bloodhound's Fang,Bloodhound's Fang,None,-,10,18,17,0,0,0,Slash,11.5,10.175,Curved Greatsword,No
Magma Wyrm's Scalesword,Magma Wyrm's Scalesword,None,-,10,24,15,0,18,0,Slash,15,12.1,Curved Greatsword,No
Zamor Curved Sword,Zamor Curved Sword,None,-,10,16,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Omen Cleaver,Omen Cleaver,None,None,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Heavy Omen Cleaver,Omen Cleaver,Heavy,Heavy,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Keen Omen Cleaver,Omen Cleaver,Keen,Keen,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Quality Omen Cleaver,Omen Cleaver,Quality,Quality,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Fire Omen Cleaver,Omen Cleaver,Fire,Fire,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Flame Art Omen Cleaver,Omen Cleaver,Flame Art,Flame Art,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Lightning Omen Cleaver,Omen Cleaver,Lightning,Lightning,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Sacred Omen Cleaver,Omen Cleaver,Sacred,Sacred,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Magic Omen Cleaver,Omen Cleaver,Magic,Magic,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Cold Omen Cleaver,Omen Cleaver,Cold,Cold,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Poison Omen Cleaver,Omen Cleaver,Poison,Poison,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Blood Omen Cleaver,Omen Cleaver,Blood,Blood,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Occult Omen Cleaver,Omen Cleaver,Occult,Occult,25,19,16,0,0,0,Slash,11.5,12.1,Curved Greatsword,No
Monk's Flameblade,Monk's Flameblade,None,None,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Heavy Flameblade,Monk's Flameblade,Heavy,Heavy,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Keen Flameblade,Monk's Flameblade,Keen,Keen,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Quality Flameblade,Monk's Flameblade,Quality,Quality,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Fire Flameblade,Monk's Flameblade,Fire,Fire,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Flame Art Flameblade,Monk's Flameblade,Flame Art,Flame Art,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Lightning Flameblade,Monk's Flameblade,Lightning,Lightning,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Sacred Flameblade,Monk's Flameblade,Sacred,Sacred,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Magic Flameblade,Monk's Flameblade,Magic,Magic,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Cold Flameblade,Monk's Flameblade,Cold,Cold,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Poison Flameblade,Monk's Flameblade,Poison,Poison,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Blood Flameblade,Monk's Flameblade,Blood,Blood,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Monk's Occult Flameblade,Monk's Flameblade,Occult,Occult,25,18,18,0,0,0,Slash,9,10.175,Curved Greatsword,No
Beastman's Cleaver,Beastman's Cleaver,None,None,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Heavy Cleaver,Beastman's Cleaver,Heavy,Heavy,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Keen Cleaver,Beastman's Cleaver,Keen,Keen,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Quality Cleaver,Beastman's Cleaver,Quality,Quality,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Fire Cleaver,Beastman's Cleaver,Fire,Fire,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Flame Art Cleaver,Beastman's Cleaver,Flame Art,Flame Art,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Lightning Cleaver,Beastman's Cleaver,Lightning,Lightning,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Sacred Cleaver,Beastman's Cleaver,Sacred,Sacred,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Magic Cleaver,Beastman's Cleaver,Magic,Magic,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Cold Cleaver,Beastman's Cleaver,Cold,Cold,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Poison Cleaver,Beastman's Cleaver,Poison,Poison,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Blood Cleaver,Beastman's Cleaver,Blood,Blood,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Beastman's Occult Cleaver,Beastman's Cleaver,Occult,Occult,25,25,14,0,0,0,Slash,16.5,10.175,Curved Greatsword,No
Morgott's Cursed Sword,Morgott's Cursed Sword,None,-,10,14,35,0,0,17,Slash,7.5,10.175,Curved Greatsword,No
Uchigatana,Uchigatana,None,None,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Heavy Uchigatana,Uchigatana,Heavy,Heavy,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Keen Uchigatana,Uchigatana,Keen,Keen,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Quality Uchigatana,Uchigatana,Quality,Quality,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Fire Uchigatana,Uchigatana,Fire,Fire,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Flame Art Uchigatana,Uchigatana,Flame Art,Flame Art,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Lightning Uchigatana,Uchigatana,Lightning,Lightning,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Sacred Uchigatana,Uchigatana,Sacred,Sacred,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Magic Uchigatana,Uchigatana,Magic,Magic,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Cold Uchigatana,Uchigatana,Cold,Cold,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Poison Uchigatana,Uchigatana,Poison,Poison,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Blood Uchigatana,Uchigatana,Blood,Blood,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Occult Uchigatana,Uchigatana,Occult,Occult,25,11,15,0,0,0,Slash/Pierce,5.5,5,Katana,No
Nagakiba,Nagakiba,None,None,25,18,22,0,0,0,Slash/Pierce,7,10,Katana,No
Heavy Nagakiba,Nagakiba,Heavy,Heavy,25,18,22,0,0,0,Slash/Pierce,7,10,Katana,No
Keen Nagakiba,Nagakiba,Keen,Keen,25,18,22,0,0,0,Slash/Pierce,7,10,Katana,No
Quality Nagakiba,Nagakiba,Quality,Quality,25,18,22,0,0,0,Slash/Pierce,7,10,Katana,No
Fire Nagakiba,Nagakiba,Fire,Fire,25,18,22,0,0,0,Slash/Pierce,7,10,Katana,No
